E1,E2,E3,E4,E5,E6
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,356.0,459.0,536.0,431.0
0.0,12.0,352.0,464.0,544.0,478.0
0.0,12.0,352.0,464.0,544.0,478.0
0.0,0.0,368.0,464.0,538.0,353.0
0.0,0.0,368.0,464.0,538.0,353.0
0.0,0.0,368.0,464.0,538.0,353.0
0.0,0.0,368.0,464.0,538.0,353.0
0.0,0.0,368.0,458.0,545.0,413.0
0.0,0.0,368.0,458.0,545.0,413.0
0.0,1430.0,352.0,497.0,541.0,448.0
0.0,1430.0,352.0,497.0,541.0,448.0
0.0,259.0,368.0,463.0,540.0,475.0
0.0,259.0,368.0,463.0,540.0,475.0
0.0,0.0,350.0,459.0,538.0,349.0
0.0,33.0,350.0,459.0,538.0,349.0
0.0,33.0,368.0,465.0,541.0,415.0
0.0,33.0,368.0,465.0,541.0,415.0
0.0,209.0,368.0,464.0,546.0,469.0
0.0,209.0,368.0,464.0,546.0,469.0
0.0,171.0,354.0,466.0,533.0,501.0
0.0,171.0,354.0,466.0,533.0,501.0
0.0,367.0,367.0,465.0,531.0,269.0
0.0,367.0,367.0,465.0,531.0,269.0
0.0,367.0,367.0,465.0,531.0,269.0
0.0,0.0,367.0,465.0,531.0,269.0
0.0,0.0,370.0,459.0,539.0,400.0
0.0,0.0,370.0,459.0,539.0,400.0
0.0,851.0,367.0,487.0,533.0,324.0
0.0,851.0,367.0,487.0,533.0,324.0
0.0,851.0,367.0,487.0,533.0,324.0
0.0,447.0,352.0,467.0,538.0,336.0
0.0,447.0,352.0,467.0,538.0,336.0
0.0,41.0,368.0,461.0,538.0,400.0
0.0,41.0,368.0,461.0,538.0,400.0
0.0,181.0,372.0,473.0,535.0,459.0
0.0,181.0,372.0,473.0,535.0,459.0
0.0,260.0,368.0,469.0,528.0,489.0
0.0,592.0,368.0,471.0,529.0,489.0
0.0,592.0,368.0,471.0,529.0,497.0
0.0,0.0,353.0,461.0,542.0,370.0
0.0,0.0,353.0,461.0,542.0,370.0
0.0,0.0,353.0,461.0,542.0,370.0
0.0,784.0,355.0,483.0,541.0,426.0
0.0,784.0,355.0,483.0,541.0,426.0
0.0,176.0,375.0,466.0,533.0,485.0
0.0,950.0,368.0,482.0,539.0,521.0
0.0,950.0,368.0,482.0,539.0,521.0
0.0,0.0,368.0,459.0,529.0,530.0
0.0,0.0,368.0,459.0,529.0,530.0
0.0,0.0,373.0,463.0,528.0,465.0
0.0,33.0,373.0,463.0,528.0,465.0
0.0,33.0,357.0,465.0,546.0,481.0
0.0,0.0,357.0,465.0,546.0,481.0
0.0,0.0,348.0,464.0,538.0,496.0
0.0,0.0,368.0,465.0,528.0,383.0
0.0,0.0,368.0,465.0,528.0,383.0
0.0,0.0,368.0,465.0,528.0,383.0
0.0,0.0,368.0,465.0,528.0,383.0
0.0,785.0,351.0,482.0,540.0,423.0
0.0,785.0,351.0,482.0,540.0,423.0
0.0,251.0,354.0,463.0,539.0,506.0
0.0,251.0,354.0,463.0,539.0,506.0
0.0,1104.0,353.0,475.0,543.0,499.0
0.0,1097.0,366.0,491.0,528.0,528.0
0.0,1097.0,366.0,491.0,528.0,528.0
0.0,987.0,350.0,479.0,525.0,267.0
0.0,987.0,350.0,479.0,525.0,267.0
0.0,987.0,350.0,479.0,525.0,267.0
0.0,470.0,349.0,471.0,535.0,308.0
0.0,470.0,349.0,471.0,535.0,308.0
0.0,470.0,349.0,471.0,535.0,308.0
0.0,0.0,349.0,471.0,535.0,308.0
0.0,0.0,367.0,459.0,543.0,384.0
0.0,0.0,367.0,459.0,543.0,384.0
0.0,0.0,352.0,464.0,534.0,377.0
0.0,70.0,352.0,464.0,534.0,377.0
0.0,70.0,368.0,465.0,534.0,377.0
0.0,70.0,368.0,465.0,546.0,377.0
0.0,107.0,368.0,469.0,540.0,471.0
0.0,107.0,368.0,469.0,540.0,471.0
0.0,369.0,358.0,465.0,540.0,467.0
0.0,143.0,358.0,465.0,540.0,467.0
0.0,143.0,363.0,464.0,525.0,523.0
0.0,143.0,363.0,464.0,525.0,523.0
0.0,143.0,363.0,464.0,525.0,523.0
0.0,144.0,366.0,456.0,535.0,499.0
0.0,0.0,366.0,456.0,535.0,499.0
0.0,0.0,339.0,461.0,527.0,256.0
0.0,0.0,339.0,461.0,527.0,256.0
0.0,0.0,339.0,461.0,527.0,256.0
0.0,0.0,367.0,461.0,527.0,256.0
0.0,0.0,367.0,469.0,533.0,301.0
0.0,482.0,367.0,469.0,533.0,301.0
0.0,482.0,367.0,477.0,535.0,343.0
0.0,482.0,367.0,477.0,535.0,343.0
0.0,18.0,368.0,482.0,539.0,369.0
0.0,0.0,368.0,482.0,539.0,369.0
0.0,0.0,351.0,464.0,538.0,391.0
0.0,0.0,351.0,464.0,538.0,391.0
0.0,86.0,354.0,468.0,534.0,411.0
0.0,86.0,354.0,468.0,534.0,411.0
0.0,227.0,361.0,476.0,538.0,501.0
0.0,227.0,361.0,476.0,538.0,501.0
0.0,80.0,349.0,464.0,530.0,528.0
0.0,80.0,349.0,464.0,530.0,528.0
0.0,80.0,349.0,464.0,530.0,528.0
0.0,312.0,342.0,465.0,532.0,375.0
0.0,312.0,342.0,465.0,532.0,375.0
0.0,312.0,342.0,465.0,532.0,375.0
0.0,0.0,342.0,465.0,532.0,375.0
0.0,0.0,375.0,468.0,538.0,404.0
0.0,0.0,375.0,468.0,538.0,404.0
0.0,99.0,351.0,467.0,528.0,464.0
0.0,390.0,351.0,467.0,528.0,464.0
0.0,390.0,353.0,482.0,538.0,476.0
0.0,390.0,353.0,482.0,538.0,476.0
0.0,390.0,353.0,482.0,538.0,476.0
0.0,181.0,2047.0,459.0,537.0,526.0
0.0,130.0,2047.0,459.0,537.0,526.0
0.0,130.0,365.0,464.0,530.0,507.0
0.0,130.0,365.0,464.0,530.0,507.0
0.0,130.0,365.0,464.0,530.0,507.0
0.0,258.0,368.0,479.0,539.0,330.0
0.0,258.0,368.0,479.0,539.0,330.0
0.0,258.0,368.0,479.0,539.0,330.0
0.0,78.0,368.0,464.0,542.0,363.0
0.0,78.0,368.0,469.0,548.0,368.0
0.0,78.0,368.0,469.0,548.0,368.0
0.0,78.0,368.0,469.0,548.0,368.0
0.0,128.0,353.0,467.0,541.0,432.0
0.0,128.0,353.0,467.0,541.0,432.0
0.0,481.0,368.0,474.0,541.0,458.0
0.0,481.0,368.0,474.0,541.0,458.0
0.0,165.0,349.0,464.0,529.0,496.0
0.0,165.0,349.0,464.0,529.0,496.0
0.0,165.0,349.0,464.0,529.0,496.0
0.0,143.0,2047.0,457.0,546.0,496.0
0.0,218.0,2047.0,457.0,546.0,496.0
0.0,218.0,365.0,464.0,541.0,501.0
0.0,218.0,365.0,464.0,541.0,501.0
0.0,42.0,351.0,467.0,539.0,339.0
0.0,42.0,351.0,467.0,539.0,339.0
0.0,42.0,351.0,467.0,539.0,339.0
0.0,0.0,362.0,467.0,539.0,339.0
0.0,0.0,362.0,464.0,540.0,294.0
0.0,0.0,362.0,464.0,540.0,294.0
0.0,0.0,350.0,464.0,541.0,331.0
0.0,0.0,350.0,464.0,541.0,331.0
0.0,290.0,349.0,467.0,542.0,371.0
0.0,290.0,349.0,467.0,542.0,371.0
0.0,81.0,353.0,463.0,537.0,353.0
0.0,81.0,353.0,463.0,537.0,353.0
0.0,0.0,365.0,464.0,527.0,398.0
0.0,0.0,365.0,464.0,527.0,398.0
0.0,756.0,368.0,482.0,545.0,454.0
0.0,756.0,368.0,482.0,545.0,454.0
0.0,278.0,364.0,464.0,540.0,490.0
0.0,278.0,364.0,464.0,540.0,490.0
0.0,87.0,352.0,464.0,535.0,361.0
0.0,87.0,352.0,464.0,535.0,361.0
0.0,87.0,352.0,464.0,535.0,361.0
0.0,0.0,352.0,464.0,535.0,361.0
0.0,0.0,363.0,461.0,538.0,395.0
0.0,0.0,363.0,461.0,538.0,395.0
0.0,1349.0,349.0,497.0,540.0,395.0
0.0,1349.0,349.0,497.0,540.0,457.0
0.0,1349.0,349.0,497.0,540.0,457.0
0.0,483.0,353.0,466.0,539.0,500.0
0.0,483.0,353.0,466.0,539.0,500.0
0.0,0.0,339.0,450.0,527.0,500.0
0.0,0.0,339.0,450.0,527.0,500.0
0.0,40.0,357.0,465.0,535.0,453.0
0.0,40.0,357.0,465.0,535.0,453.0
0.0,83.0,368.0,465.0,533.0,489.0
0.0,83.0,368.0,465.0,533.0,489.0
0.0,72.0,352.0,470.0,533.0,506.0
0.0,72.0,352.0,470.0,533.0,506.0
0.0,122.0,352.0,464.0,539.0,354.0
0.0,122.0,352.0,464.0,539.0,354.0
0.0,122.0,352.0,464.0,539.0,354.0
0.0,0.0,352.0,464.0,539.0,354.0
0.0,0.0,349.0,461.0,537.0,416.0
0.0,1441.0,349.0,461.0,537.0,416.0
0.0,1441.0,365.0,498.0,543.0,454.0
0.0,1441.0,365.0,498.0,543.0,454.0
0.0,1441.0,365.0,498.0,543.0,454.0
0.0,147.0,361.0,464.0,529.0,496.0
0.0,147.0,361.0,464.0,529.0,535.0
0.0,147.0,361.0,464.0,529.0,535.0
0.0,151.0,354.0,467.0,535.0,506.0
0.0,151.0,354.0,467.0,535.0,506.0
0.0,246.0,365.0,459.0,528.0,500.0
0.0,246.0,365.0,459.0,528.0,500.0
0.0,246.0,365.0,459.0,528.0,500.0
0.0,0.0,350.0,464.0,530.0,307.0
0.0,0.0,350.0,464.0,530.0,307.0
0.0,0.0,349.0,463.0,547.0,317.0
0.0,0.0,349.0,463.0,547.0,370.0
0.0,0.0,349.0,463.0,547.0,370.0
0.0,0.0,349.0,463.0,547.0,370.0
0.0,0.0,363.0,463.0,539.0,383.0
0.0,0.0,363.0,463.0,539.0,383.0
0.0,25.0,352.0,466.0,545.0,417.0
0.0,810.0,369.0,487.0,537.0,464.0
0.0,810.0,369.0,487.0,537.0,464.0
0.0,125.0,364.0,464.0,534.0,475.0
0.0,335.0,364.0,464.0,534.0,475.0
0.0,335.0,368.0,479.0,539.0,503.0
0.0,335.0,368.0,479.0,539.0,503.0
0.0,210.0,337.0,466.0,533.0,530.0
0.0,439.0,337.0,466.0,533.0,530.0
0.0,439.0,350.0,475.0,532.0,304.0
0.0,439.0,350.0,475.0,532.0,304.0
0.0,0.0,350.0,475.0,532.0,304.0
0.0,0.0,350.0,464.0,535.0,338.0
0.0,0.0,350.0,464.0,535.0,338.0
0.0,0.0,364.0,464.0,532.0,356.0
0.0,0.0,364.0,464.0,532.0,356.0
0.0,0.0,368.0,464.0,542.0,388.0
0.0,32.0,368.0,464.0,542.0,388.0
0.0,32.0,352.0,464.0,533.0,447.0
0.0,75.0,365.0,464.0,530.0,482.0
0.0,75.0,365.0,464.0,530.0,482.0
0.0,978.0,350.0,483.0,528.0,527.0
0.0,161.0,350.0,483.0,528.0,527.0
0.0,161.0,365.0,472.0,528.0,526.0
0.0,161.0,365.0,472.0,528.0,526.0
0.0,65.0,347.0,464.0,534.0,264.0
0.0,65.0,347.0,464.0,534.0,264.0
0.0,0.0,353.0,462.0,534.0,264.0
0.0,0.0,353.0,462.0,543.0,385.0
0.0,0.0,353.0,462.0,543.0,385.0
0.0,69.0,367.0,470.0,549.0,464.0
0.0,69.0,367.0,470.0,549.0,464.0
0.0,285.0,362.0,469.0,538.0,495.0
0.0,285.0,362.0,469.0,538.0,495.0
0.0,0.0,351.0,463.0,539.0,368.0
0.0,0.0,351.0,463.0,539.0,368.0
0.0,0.0,368.0,463.0,543.0,388.0
0.0,32.0,351.0,465.0,544.0,388.0
0.0,32.0,351.0,465.0,544.0,465.0
0.0,439.0,367.0,481.0,538.0,491.0
0.0,439.0,367.0,481.0,538.0,491.0
0.0,0.0,347.0,459.0,533.0,528.0
0.0,0.0,347.0,459.0,533.0,528.0
0.0,0.0,361.0,461.0,533.0,528.0
0.0,0.0,361.0,461.0,525.0,528.0
0.0,0.0,361.0,461.0,525.0,407.0
0.0,848.0,366.0,487.0,544.0,447.0
0.0,848.0,366.0,487.0,544.0,447.0
0.0,289.0,354.0,465.0,543.0,489.0
0.0,289.0,354.0,465.0,543.0,489.0
0.0,145.0,365.0,474.0,535.0,519.0
0.0,145.0,365.0,474.0,535.0,519.0
0.0,142.0,366.0,467.0,533.0,400.0
0.0,0.0,366.0,467.0,533.0,400.0
0.0,0.0,349.0,462.0,530.0,267.0
0.0,95.0,365.0,465.0,536.0,267.0
0.0,95.0,365.0,465.0,536.0,293.0
0.0,0.0,354.0,464.0,536.0,327.0
0.0,0.0,354.0,464.0,536.0,327.0
0.0,0.0,349.0,464.0,536.0,327.0
0.0,0.0,349.0,464.0,535.0,327.0
0.0,0.0,349.0,464.0,535.0,371.0
0.0,76.0,349.0,464.0,535.0,371.0
0.0,76.0,352.0,464.0,538.0,445.0
0.0,305.0,340.0,473.0,534.0,467.0
0.0,305.0,340.0,473.0,534.0,467.0
0.0,135.0,353.0,463.0,534.0,511.0
0.0,965.0,353.0,463.0,534.0,511.0
0.0,965.0,364.0,495.0,533.0,496.0
0.0,965.0,364.0,495.0,533.0,496.0
0.0,962.0,348.0,481.0,533.0,496.0
0.0,962.0,348.0,481.0,532.0,496.0
0.0,128.0,347.0,464.0,529.0,315.0
0.0,296.0,350.0,470.0,538.0,317.0
0.0,296.0,350.0,470.0,538.0,317.0
0.0,296.0,350.0,470.0,538.0,317.0
0.0,296.0,350.0,470.0,538.0,317.0
0.0,0.0,349.0,461.0,538.0,317.0
0.0,0.0,349.0,461.0,533.0,332.0
0.0,25.0,367.0,466.0,541.0,371.0
0.0,25.0,367.0,466.0,541.0,371.0
0.0,80.0,367.0,475.0,535.0,450.0
0.0,80.0,367.0,475.0,535.0,450.0
0.0,1048.0,372.0,489.0,528.0,457.0
0.0,927.0,372.0,489.0,528.0,457.0
0.0,927.0,337.0,478.0,536.0,474.0
0.0,212.0,337.0,478.0,536.0,474.0
0.0,212.0,352.0,471.0,528.0,4095.0
0.0,212.0,352.0,471.0,528.0,4095.0
0.0,253.0,367.0,464.0,535.0,530.0
0.0,253.0,367.0,464.0,535.0,530.0
0.0,253.0,367.0,464.0,535.0,530.0
0.0,0.0,367.0,464.0,535.0,530.0
0.0,0.0,363.0,470.0,539.0,325.0
0.0,0.0,363.0,470.0,539.0,325.0
0.0,0.0,362.0,464.0,534.0,451.0
0.0,0.0,362.0,464.0,534.0,451.0
0.0,0.0,349.0,464.0,539.0,400.0
0.0,0.0,349.0,464.0,539.0,400.0
0.0,0.0,349.0,464.0,538.0,415.0
0.0,0.0,349.0,464.0,538.0,415.0
0.0,0.0,368.0,464.0,542.0,431.0
0.0,0.0,368.0,464.0,542.0,431.0
0.0,79.0,352.0,466.0,538.0,431.0
0.0,79.0,352.0,466.0,538.0,474.0
0.0,79.0,352.0,466.0,538.0,474.0
0.0,905.0,367.0,490.0,539.0,496.0
0.0,302.0,367.0,490.0,539.0,496.0
0.0,302.0,346.0,465.0,535.0,501.0
0.0,302.0,346.0,465.0,535.0,501.0
